,Unnamed: 0,ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
8541,8541,45761204,2067.0,LAMBORGHINI,Urus,2019,Universal,Yes,Petrol,> 3 & <= 5 No turbo,Between 10km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,0,872946
1225,1225,45795524,906.8381278879118,MERCEDES-BENZ,G 65 AMG 63AMG,2020,Jeep,Yes,Petrol,> 5 and <= 10 turbo,Between 10km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12,627220
5008,5008,45810285,1694.0,PORSCHE,911,2016,Coupe,Yes,Petrol,> 3 & <= 5 No turbo,Between 10km,6.0,Automatic,Rear,02-Mar,Left wheel,Black,12,308906
14839,14839,45792307,906.8381278879118,LAND ROVER,Range Rover Vogue,2019,Jeep,Yes,Diesel,<= 3 turbo,Between 10km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12,297930
9367,9367,45229113,906.8381278879118,MERCEDES-BENZ,AMG GT S,2015,Coupe,Yes,Petrol,> 3 & <= 5 turbo,10km to 30km,8.0,Tiptronic,Rear,02-Mar,Left wheel,White,16,297930
7749,7749,45760644,2269.0,BMW,M5 Машина в максимально,2018,Sedan,Yes,Petrol,> 3 & <= 5 No turbo,10km to 30km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,0,288521
10759,10759,45291161,906.8381278879118,LEXUS,LX 570,2018,Jeep,Yes,Petrol,> 5 and <= 10 turbo,10km to 30km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,10,260296
5840,5840,44991441,1292.0,MERCEDES-BENZ,GLE 400 A M G,2016,Jeep,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,254024
15283,15283,45069516,1481.0,MERCEDES-BENZ,GLE 400,2017,Jeep,Yes,Petrol,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,250574
7283,7283,45420737,906.8381278879118,MERCEDES-BENZ,GLE 63 AMG,2018,Jeep,Yes,Petrol,> 5 and <= 10 turbo,10km to 30km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,16,228935
2283,2283,45786808,906.8381278879118,BENTLEY,Continental GT,2012,Coupe,Yes,Petrol,> 3 & <= 5 turbo,30km to 100km,8.0,Tiptronic,4x4,02-Mar,Left wheel,Black,0,219527
7353,7353,43683199,906.8381278879118,MERCEDES-BENZ,G 65 AMG G63 AMG,2013,Jeep,Yes,Petrol,> 5 and <= 10 turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12,216391
1145,1145,43073652,906.8381278879118,MERCEDES-BENZ,G 350,2013,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Automatic,4x4,04-May,Left wheel,Black,6,194438
13328,13328,44956069,906.8381278879118,MERCEDES-BENZ,"GLE 400 Coupe, AMG Kit",2018,Jeep,Yes,Petrol,<= 3 turbo,10km to 30km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,193184
4722,4722,45813777,2819.0,BENTLEY,Mulsanne,2016,Sedan,Yes,Petrol,> 5 & <= 10 No turbo,Between 10km,8.0,Automatic,Rear,04-May,Left wheel,Black,12,175622
9248,9248,45761401,906.8381278879118,PORSCHE,macan,2019,Jeep,Yes,Petrol,<= 3 turbo,Between 10km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,15,172486
2912,2912,45798754,1951.0,MERCEDES-BENZ,S 63 AMG,2015,Sedan,Yes,Petrol,> 5 and <= 10 turbo,30km to 100km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,16,172486
6468,6468,45796870,906.8381278879118,LEXUS,LX 570,2013,Jeep,Yes,Petrol,> 5 & <= 10 No turbo,30km to 100km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12,172486
2768,2768,45772445,906.8381278879118,TOYOTA,Land Cruiser,2018,Jeep,Yes,Diesel,> 3 & <= 5 turbo,10km to 30km,12.0,Automatic,4x4,04-May,Left wheel,White,16,172486
7718,7718,43797018,1292.0,LAND ROVER,Range Rover,2016,Jeep,Yes,Diesel,<= 3 turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,12,167781
13351,13351,45775006,906.8381278879118,BMW,M6 Gran cupe,2014,Sedan,Yes,Petrol,<= 3 turbo,30km to 100km,8.0,Automatic,Rear,04-May,Left wheel,Black,12,163077
4044,4044,45793109,906.8381278879118,MERCEDES-BENZ,GLS 450,2018,Jeep,Yes,Petrol,<= 3 No turbo,30km to 100km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,0,156805
