,Unnamed: 0.1,Unnamed: 0,Levy,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
0,8541,8541,2067.0,0,2019,0,0,0,0,0,8.0,0,0,0,0,0,0,872946
1,1225,1225,906.8381278879118,1,2020,1,0,0,1,0,8.0,0,0,0,0,0,12,627220
2,5008,5008,1694.0,2,2016,2,0,0,0,0,6.0,1,1,1,0,0,12,308906
3,14839,14839,906.8381278879118,3,2019,1,0,1,2,0,8.0,0,0,0,0,0,12,297930
4,9367,9367,906.8381278879118,1,2015,2,0,0,3,1,8.0,0,1,1,0,1,16,297930
5,7749,7749,2269.0,4,2018,3,0,0,0,1,8.0,0,0,0,0,0,0,288521
6,10759,10759,906.8381278879118,5,2018,1,0,0,1,1,8.0,0,0,0,0,0,10,260296
7,5840,5840,1292.0,1,2016,1,0,0,2,2,6.0,0,0,0,0,0,12,254024
8,15283,15283,1481.0,1,2017,1,0,0,2,2,6.0,0,0,0,0,0,12,250574
9,7283,7283,906.8381278879118,1,2018,1,0,0,1,1,8.0,0,0,0,0,0,16,228935
10,2283,2283,906.8381278879118,6,2012,2,0,0,3,2,8.0,0,0,1,0,0,0,219527
11,7353,7353,906.8381278879118,1,2013,1,0,0,1,2,8.0,0,0,0,0,0,12,216391
12,1145,1145,906.8381278879118,1,2013,1,0,1,2,2,6.0,1,0,0,0,0,6,194438
13,13328,13328,906.8381278879118,1,2018,1,0,0,2,1,6.0,1,0,0,0,2,12,193184
14,4722,4722,2819.0,6,2016,3,0,0,4,0,8.0,1,1,0,0,0,12,175622
15,9248,9248,906.8381278879118,2,2019,1,0,0,2,0,6.0,0,0,0,0,0,15,172486
16,2912,2912,1951.0,1,2015,3,0,0,1,2,8.0,0,1,0,0,0,16,172486
17,6468,6468,906.8381278879118,5,2013,1,0,0,4,2,8.0,0,0,0,0,0,12,172486
18,2768,2768,906.8381278879118,7,2018,1,0,1,3,1,12.0,1,0,0,0,1,16,172486
19,7718,7718,1292.0,3,2016,1,0,1,2,2,6.0,0,0,0,0,3,12,167781
20,13351,13351,906.8381278879118,4,2014,3,0,0,2,2,8.0,1,1,0,0,0,12,163077
21,4044,4044,906.8381278879118,1,2018,1,0,0,5,2,6.0,0,0,0,0,0,0,156805
22,11941,11941,906.8381278879118,4,2015,1,0,0,3,2,8.0,1,0,0,0,4,12,156805
23,15413,15413,1823.0,4,2018,3,0,0,3,0,12.0,2,1,0,0,0,16,153669
24,17868,17868,906.8381278879118,8,2015,3,0,0,3,2,8.0,0,1,1,0,5,6,150533
25,10423,10423,1575.0,3,2018,1,0,0,2,1,6.0,0,0,0,0,1,12,150533
26,7997,7997,1869.0,9,2019,1,0,0,0,1,6.0,1,0,0,0,3,16,147397
27,18881,18881,906.8381278879118,8,2017,1,1,1,5,1,1.0,1,0,0,0,3,0,147397
28,13265,13265,906.8381278879118,4,2017,2,0,0,2,1,6.0,0,1,1,0,5,12,144261
29,3006,3006,906.8381278879118,3,2015,1,0,1,2,2,6.0,0,0,0,0,0,12,141124
30,7031,7031,1304.0,4,2013,2,0,0,3,2,8.0,0,1,0,0,0,12,141124
