,Price
0,15681
1,5883
2,40
3,23521
4,10349
5,3136
6,12880
7,56340
8,1725
9,16935
10,7840
11,392
12,17249
13,6586
14,6743
15,6272
16,862
17,470
18,27284
19,7840
20,5488
21,4234
22,7997
23,9095
24,941
25,17876
26,2509
27,470
28,25089
29,1500
30,23521
31,30564
32,26999
33,18817
34,314
35,19444
36,11290
37,11290
38,627
39,14301
40,20385
41,188
42,9095
43,627
44,1646
45,46919
46,16308
47,23521
48,39615
49,9300
50,30
51,5959
52,16480
53,12570
54,18817
55,6272
56,27284
57,6586
58,941
59,8624
60,3607
61,23521
62,18817
63,9396
64,862
65,11133
66,1019
67,28225
68,14740
69,314
70,18503
71,15994
72,5209
73,13463
74,2430
75,30906
76,30
77,3763
78,16900
79,87112
80,11149
81,10349
82,6586
83,549
84,24462
85,16308
86,470
87,25089
88,941
89,20071
90,470
91,11604
92,61816
93,17249
94,9565
95,9252
96,15681
97,9408
98,11917
99,6272
100,11447
101,12231
102,44247
103,19757
104,27479
105,10663
106,1882
107,22502
108,40769
109,43278
110,52853
111,37000
112,14426
113,627
114,20700
115,43905
116,21975
117,4861
118,15681
119,470
120,470
121,73071
122,47042
123,51517
124,17876
125,5300
126,18817
127,7997
128,35971
129,20071
130,29793
131,41553
132,11133
133,9879
134,250574
135,4359
136,392
137,24775
138,14740
139,10036
140,11541
141,21639
142,7919
143,15423
144,4077
145,17249
146,29445
147,784
148,13485
149,2430
150,20385
151,19547
152,8467
153,26343
154,26030
155,45734
156,18817
157,15367
158,18503
159,6272
160,6429
161,188
162,8781
163,15681
164,3763
165,18500
166,10349
167,100
168,21639
169,10349
170,21953
171,12544
172,10036
173,8781
174,55
175,34074
176,16621
177,9252
178,282
179,6899
180,16308
181,39559
182,18503
183,17876
184,76835
185,15612
186,157
187,5645
188,9408
189,42024
190,4234
191,470
192,11200
193,1960
194,10192
195,43905
196,29479
197,7213
198,1333
199,14897
200,8467
201,3293
202,2979
203,20385
204,600
205,10349
206,18826
207,7840
208,4704
209,21655
210,11604
211,11604
212,6272
213,14113
214,549
215,38016
216,43278
217,6899
218,35344
219,14113
220,39891
221,125
222,14426
223,42692
224,9095
225,10976
226,2744
227,18817
228,8311
229,14269
230,188
231,22649
232,314
233,12140
234,17249
235,40889
236,16308
237,30750
238,18519
239,36219
240,6899
241,17939
242,392
243,5018
244,14426
245,3500
246,1803
247,36865
248,14113
249,16465
250,48575
251,7527
252,37125
253,7840
254,16151
255,11290
256,784
257,16292
258,2509
259,45376
260,549
261,37301
262,17249
263,8467
264,6272
265,706
266,28225
267,50037
268,18817
269,12231
270,7840
271,314
272,3058
273,11290
274,17249
275,4700
276,5800
277,1490
278,27654
279,2352
280,8781
281,4547
282,10349
283,25716
284,52263
285,8467
286,16621
287,150
288,3293
289,40092
290,6429
291,46991
292,29254
293,108371
294,1019
295,7527
296,50
297,29323
298,5645
299,282
300,3763
301,10036
302,50
303,1254
304,10506
305,17249
306,40
307,8781
308,19757
309,36065
310,2979
311,29793
312,14113
313,19121
314,41720
315,47
316,17876
317,14740
318,28423
319,9408
320,15524
321,26657
322,3900
323,34497
324,11917
325,16088
326,27654
327,20297
328,5488
329,1254
330,11604
331,17562
332,9500
333,8300
334,7683
335,63886
336,33243
337,1882
338,14113
339,110
340,21012
341,30966
342,36065
343,27284
344,59865
345,23659
346,8781
347,627
348,3607
349,3450
350,5018
351,5802
352,784
353,11917
354,19914
355,862
356,18503
357,12544
358,470
359,49864
360,8147
361,19757
362,10976
363,3450
364,27093
365,50
366,12544
367,941
368,43905
369,188
370,5331
371,42337
372,32929
373,14000
374,18240
375,14113
376,3136
377,5645
378,68994
379,15210
380,314
381,47042
382,18817
383,13962
384,38574
385,7213
386,16621
387,15681
388,25089
389,27284
390,18817
391,1019
392,862
393,20385
394,251
395,20266
396,110
397,11447
398,32929
399,30577
400,2822
401,19121
402,1490
403,9408
404,12544
405,100
406,13799
407,35438
408,11604
409,26657
410,7370
411,4704
412,3500
413,17562
414,40769
415,10515
416,11604
417,19444
418,51746
419,29793
420,24775
421,1019
422,21326
423,37066
424,3058
425,29777
426,3293
427,19444
428,21796
429,10976
430,12544
431,25
432,16935
433,17562
434,392
435,7840
436,19456
437,24462
438,45473
439,30734
440,10349
441,706
442,175622
443,3293
444,1646
445,30420
446,1646
447,18817
448,862
449,470
450,15053
451,14113
452,470
453,9408
454,2901
455,30750
456,470
457,2430
458,288521
459,4077
460,706
461,13172
462,13172
463,706
464,2587
465,17885
466,1882
467,9408
468,627
469,27755
470,1333
471,38562
472,17942
473,6272
474,21953
475,21953
476,25299
477,14113
478,9095
479,10192
480,30734
481,26030
482,941
483,2274
484,8154
485,29793
486,16559
487,8781
488,13799
489,15323
490,13485
491,12231
492,21326
493,21639
494,22580
495,57902
496,1098
497,125
498,220
499,3293
500,706
501,5645
502,4547
503,22580
504,314
505,9252
506,34340
507,157
508,14740
509,314
510,33243
511,40769
512,15053
513,3763
514,8386
515,23436
516,188
517,15053
518,15053
519,7840
520,17876
521,13172
522,7175
523,32744
524,3607
525,314
526,2352
527,2200
528,2509
529,251
530,25089
531,42000
532,41883
533,42337
534,20005
535,41397
536,61154
537,2038
538,7840
539,15681
540,23521
541,44247
542,16308
543,1725
544,10663
545,10036
546,26657
547,20385
548,4547
549,314
550,14113
551,3450
552,65858
553,3136
554,24433
555,16308
556,7527
557,100
558,37633
559,48296
560,15681
561,627
562,76029
563,60
564,392
565,5331
566,25597
567,5802
568,16308
569,8311
570,7997
571,31361
572,22580
573,45160
574,8467
575,26657
576,15681
577,1803
578,470
579,22357
580,7997
581,40769
582,5893
583,3000
584,250
585,1333
586,199
587,3293
588,15681
589,18826
590,10036
591,25591
592,3763
593,13328
594,22580
595,18817
596,18503
597,11290
598,4704
599,15035
600,11917
601,12544
602,53154
603,12544
604,18240
605,6272
606,12544
607,26657
608,8781
609,3763
610,11917
611,10976
612,18503
613,3000
614,50178
615,314
616,2430
617,17249
618,45473
619,5018
620,27911
621,22423
622,1960
623,10976
624,11604
625,18503
626,7840
627,21953
628,549
629,94
630,14831
631,1646
632,22580
633,16621
634,25716
635,36065
636,5802
637,49751
638,45000
639,23408
640,470
641,282
642,18817
643,18817
644,1098
645,13172
646,15612
647,50
648,12544
649,7213
650,11290
651,15994
652,8467
653,31361
654,21953
655,46101
656,11760
657,314
658,10976
659,27065
660,10036
661,43062
662,220
663,18817
664,14834
665,20005
666,11917
667,9565
668,5883
669,41811
670,43868
671,862
672,7997
673,25243
674,282
675,3450
676,8154
677,251
678,21953
679,9408
680,5466
681,6909
682,21953
683,28225
684,11895
685,7840
686,6272
687,29793
688,25089
689,37066
690,23364
691,36219
692,4704
693,23414
694,100
695,18240
696,14897
697,39201
698,19184
699,22266
700,10976
701,36000
702,42717
703,1254
704,12074
705,15367
706,26343
707,21953
708,10976
709,11760
710,25591
711,10976
712,1019
713,7213
714,13172
715,10349
716,21953
717,10036
718,9722
719,2901
720,12074
721,10976
722,62095
723,147397
724,941
725,15367
726,24283
727,52059
728,1568
729,800
730,15681
731,19761
732,18660
733,19444
734,46728
735,13485
736,31361
737,3136
738,19243
739,10976
740,4234
741,10036
742,5959
743,16621
744,3450
745,25889
746,109764
747,110
748,49864
749,1882
750,7997
751,4547
752,15681
753,14113
754,2744
755,33230
756,4234
757,5488
758,15988
759,4701
760,3700
761,110
762,31248
763,4547
764,9408
765,2195
766,6899
767,4077
768,12544
769,5331
770,35168
771,5802
772,3763
773,21953
774,627
775,17249
776,19121
777,4861
778,20385
779,26017
780,12858
781,12585
782,17249
783,3763
784,8311
785,17876
786,14113
787,12000
788,9722
789,8781
790,10036
791,23207
792,25089
793,17562
794,15530
795,17092
796,17562
797,1333
798,470
799,2509
800,8467
801,282
802,2200
803,314
804,50805
805,6275
806,6586
807,251
808,8781
809,2100
810,29793
811,7213
812,6899
813,9377
814,5645
815,16621
816,47694
817,250
818,17876
819,2800
820,5331
821,23521
822,6
823,52357
824,25889
825,18240
826,12858
827,31220
828,3293
829,1725
830,549
831,13328
832,941
833,36068
834,100
835,29793
836,13172
837,47810
838,15053
839,862
840,11917
841,3000
842,19089
843,23678
844,25591
845,39201
846,16599
847,20000
848,21639
849,9408
850,39829
851,706
852,1568
853,1000
854,5488
855,19707
856,11917
857,11992
858,60
859,706
860,11604
861,706
862,3136
863,19444
864,83107
865,23521
866,18817
867,58172
868,18817
869,68994
870,8000
871,8467
872,24148
873,36065
874,15994
875,2430
876,36567
877,20592
878,7840
879,1960
880,26030
881,11274
882,51746
883,15053
884,5328
885,9832
886,10506
887,14740
888,34387
889,14583
890,9408
891,4704
892,68681
893,21639
894,19121
895,2352
896,15367
897,8781
898,9408
899,14834
900,470
901,21395
902,11917
903,15367
904,549
905,8467
906,11760
907,18503
908,4234
909,4861
910,22894
911,3607
912,3450
913,4077
914,4861
915,16935
916,2430
917,9408
918,392
919,21326
920,18817
921,29166
922,1725
923,17158
924,28225
925,13350
926,862
927,7213
928,42601
929,30734
930,10976
931,9832
932,20385
933,24433
934,27284
935,9565
936,18660
937,4704
938,24123
939,20385
940,627
941,3607
942,31421
943,12544
944,1568
945,40456
946,13799
947,8781
948,20005
949,22266
950,15681
951,17249
952,30734
953,24775
954,282
955,21683
956,2979
957,13172
958,23834
959,5018
960,6500
961,8154
962,45210
963,314
964,9408
965,11290
966,6600
967,36899
968,32035
969,3763
970,1019
971,25089
972,42369
973,3763
974,26657
975,52373
976,18817
977,39201
978,69810
979,7840
980,14583
981,35000
982,24932
983,4737
984,12858
985,30
986,2195
987,15483
988,17562
989,11604
990,18189
991,5645
992,5018
993,8938
994,627
995,10036
996,141124
997,47076
998,72130
999,345
1000,15053
1001,10036
1002,16621
1003,4547
1004,10663
1005,5802
1006,9408
1007,79782
1008,1960
1009,3450
1010,61894
1011,17484
1012,10663
1013,21012
1014,40092
1015,1600
1016,13485
1017,23834
1018,21000
1019,9543
1020,48296
1021,22580
1022,706
1023,5000
1024,30712
1025,5645
1026,314
1027,2509
1028,15210
1029,7527
1030,35
1031,18500
1032,314
1033,17876
1034,17227
1035,24148
1036,10036
1037,2666
1038,18817
1039,19757
1040,12777
1041,16935
1042,314
1043,10976
1044,3450
1045,9565
1046,20000
1047,549
1048,34811
1049,22580
1050,18189
1051,16621
1052,9722
1053,24415
1054,18817
1055,6500
1056,15994
1057,14834
1058,12544
1059,36899
1060,15053
1061,9408
1062,1500
1063,53314
1064,17249
1065,12388
1066,8947
1067,25810
1068,111332
1069,22894
1070,9095
1071,23207
1072,31
1073,69935
1074,12544
1075,21181
1076,14583
1077,17876
1078,188
1079,14740
1080,1019
1081,36166
1082,40
1083,16308
1084,5018
1085,15681
1086,23521
1087,188
1088,8781
1089,81539
1090,7370
1091,12231
1092,4500
1093,157
1094,28909
1095,7840
1096,21639
1097,100355
1098,1098
1099,9879
1100,15994
1101,7495
1102,11604
1103,19312
1104,5488
1105,21326
1106,3450
1107,10976
1108,42337
1109,15063
1110,49259
1111,15681
1112,40769
1113,62722
1114,35
1115,7700
1116,5018
1117,13013
1118,19757
1119,5645
1120,16621
1121,941
1122,8781
1123,9408
1124,5959
1125,12544
1126,392
1127,706
1128,16308
1129,19914
1130,28
1131,5018
1132,6586
1133,26343
1134,2038
1135,9095
1136,8154
1137,87811
1138,12544
1139,69935
1140,21326
1141,16618
1142,627
1143,3293
1144,65858
1145,5645
1146,3763
1147,53154
1148,56340
1149,470
1150,17158
1151,80
1152,7809
1153,20005
1154,9565
1155,21181
1156,15367
1157,15053
1158,29479
1159,13172
1160,188
1161,10349
1162,28789
1163,18124
1164,15681
1165,18189
1166,5645
1167,3450
1168,9722
1169,125
1170,5018
1171,2509
1172,1882
1173,15994
1174,12544
1175,16621
1176,25889
1177,6272
1178,19707
1179,15994
1180,12231
1181,19757
1182,42171
1183,5018
1184,706
1185,17249
1186,31361
1187,1882
1188,31988
1189,706
1190,12388
1191,784
1192,314
1193,19914
1194,22580
1195,7213
1196,5488
1197,11604
1198,12858
1199,470
1200,627
1201,3450
1202,17054
1203,13322
1204,24462
1205,36065
1206,2509
1207,3
1208,27911
1209,7213
1210,11604
1211,34905
1212,900
1213,12544
1214,314
1215,5959
1216,21326
1217,9408
1218,4704
1219,7527
1220,470
1221,13328
1222,6272
1223,5959
1224,13172
1225,17249
1226,11917
1227,6586
1228,31988
1229,8781
1230,10036
1231,15053
1232,1333
1233,14294
1234,3763
1235,2038
1236,17876
1237,2509
1238,5645
1239,42337
1240,18660
1241,9095
1242,21639
1243,16308
1244,220
1245,10976
1246,33243
1247,3763
1248,26657
1249,17562
1250,25089
1251,9408
1252,3763
1253,40769
1254,10976
1255,941
1256,12544
1257,392
1258,37580
1259,2509
1260,314
1261,12231
1262,1700
1263,22934
1264,8154
1265,784
1266,10192
1267,3450
1268,157
1269,10036
1270,20532
1271,25
1272,470
1273,20385
1274,10976
1275,6752
1276,39026
1277,5018
1278,14906
1279,17249
1280,11917
1281,5488
1282,8154
1283,13589
1284,15681
1285,28015
1286,17562
1287,20855
1288,10349
1289,5488
1290,4234
1291,1176
1292,4704
1293,24123
1294,7527
1295,6899
1296,549
1297,16621
1298,627
1299,41397
1300,2979
1301,3607
1302,25089
1303,20266
1304,19416
1305,41701
1306,31
1307,12720
1308,39578
1309,627
1310,13485
1311,8938
1312,12858
1313,2744
1314,9400
1315,5645
1316,15988
1317,40142
1318,9408
1319,52959
1320,706
1321,16621
1322,35124
1323,18817
1324,18817
1325,66197
1326,17249
1327,32929
1328,10506
1329,21953
1330,21326
1331,11760
1332,1019
1333,1568
1334,9408
1335,10036
1336,18503
1337,3800
1338,19864
1339,3136
1340,37633
1341,5018
1342,35
1343,37580
1344,15367
1345,13799
1346,7213
1347,23994
1348,17035
1349,16308
1350,22580
1351,16308
1352,10663
1353,7683
1354,50861
1355,31047
1356,7213
1357,941
1358,13589
1359,12000
1360,24462
1361,8467
1362,9879
1363,18817
1364,19444
1365,14583
1366,50
1367,282
1368,35557
1369,7213
1370,19823
1371,17719
1372,15681
1373,7683
1374,9408
1375,29793
1376,24628
1377,13172
1378,13172
1379,50178
1380,75266
1381,13184
1382,26657
1383,12544
1384,5018
1385,20385
1386,26149
1387,20005
1388,16010
1389,12544
1390,470
1391,12720
1392,43868
1393,163077
1394,5802
1395,7213
1396,16621
1397,15053
1398,8154
1399,12027
1400,39201
1401,24302
1402,34108
1403,22894
1404,10506
1405,38609
1406,30
1407,12858
1408,13485
1409,17054
1410,11563
1411,4234
1412,35005
1413,40
1414,11604
1415,19444
1416,14269
1417,19444
1418,4704
1419,1725
1420,18189
1421,7840
1422,6272
1423,7840
1424,4000
1425,24386
1426,470
1427,1568
1428,45473
1429,17249
1430,6000
1431,14113
1432,34497
1433,470
1434,38260
1435,13877
1436,20322
1437,40142
1438,157
1439,16935
1440,62722
1441,18817
1442,15681
1443,10192
1444,1568
1445,44134
1446,118676
1447,11133
1448,14113
1449,157
1450,9408
1451,16753
1452,10000
1453,549
1454,14269
1455,60
1456,6272
1457,8781
1458,6586
1459,17249
1460,43143
1461,13172
1462,549
1463,27284
1464,7840
1465,9408
1466,13065
1467,39458
1468,392
1469,18189
1470,119172
1471,19130
1472,19444
1473,20698
1474,29420
1475,15053
1476,19309
1477,14426
1478,3607
1479,14113
1480,6899
1481,300
1482,55823
1483,38609
1484,18660
1485,16308
1486,29094
1487,1568
1488,12231
1489,8781
1490,470
1491,3920
1492,9095
1493,28909
1494,22580
1495,11917
1496,21639
1497,5959
1498,5018
1499,784
1500,706
1501,392
1502,21805
1503,13172
1504,18189
1505,19416
1506,24148
1507,8154
1508,65858
1509,14113
1510,18189
1511,11917
1512,627
1513,41281
1514,41710
1515,15681
1516,6272
1517,87927
1518,21953
1519,30734
1520,28539
1521,220
1522,392
1523,9722
1524,14069
1525,10976
1526,7840
1527,20385
1528,19130
1529,5018
1530,43880
1531,18817
1532,4861
1533,54568
1534,941
1535,12425
1536,4704
1537,2300
1538,9095
1539,14113
1540,3450
1541,392
1542,42692
1543,52059
1544,600
1545,53185
1546,862
1547,24775
1548,3450
1549,11917
1550,36065
1551,29793
1552,13172
1553,56513
1554,12544
1555,5802
1556,26030
1557,4701
1558,42692
1559,10976
1560,314
1561,59827
1562,784
1563,43655
1564,21012
1565,49431
1566,4861
1567,11604
1568,16621
1569,2822
1570,13799
1571,5488
1572,15524
1573,300
1574,28225
1575,11604
1576,14426
1577,19601
1578,19130
1579,19726
1580,5645
1581,42651
1582,45787
1583,627
1584,16935
